ean;name;quantity;sector;type;size
7893963945203;BOTA DE PVC 100AWORKF CA BR CANO LONGO 37 MARLUVAS;0;EPI;BOTA;37
7893963945210;BOTA DE PVC 100AWORKF CA BR CANO LONGO 38 MARLUVAS;0;EPI;BOTA;38
7893963942783;BOTA DE PVC 100AWORKF CA BR CANO LONGO 40 MARLUVAS;0;EPI;BOTA;39
7893963945241;BOTA DE PVC 100AWORKF CA BR CANO LONGO 41 MARLUVAS;0;EPI;BOTA;40
7893963024427;BOTA DE PVC 100AWORKF CA BR CANO LONGO 42;0;EPI;BOTA;41
7893963945258;BOTA DE PVC 100AWORKF CA BR CANO LONGO 42 MARLUVAS;0;EPI;BOTA;42
7893963942813;BOTA DE PVC 100AWORKF CA BR CANO LONGO 43 MARLUVAS;0;EPI;BOTA;43
7893963985292;BOTA DE PVC 110VFLEX BR MEIO-CANO 39 MARLUVAS;0;EPI;BOTA;39
7893963985308;BOTA DE PVC 110VFLEX BR MEIO-CANO 40 MARLUVAS;0;EPI;BOTA;40
7893963985315;BOTA DE PVC 110VFLEX BR MEIO-CANO 41 MARLUVAS;0;EPI;BOTA;41
7893963985322;BOTA DE PVC 110VFLEX BR MEIO-CANO 42 MARLUVAS;0;EPI;BOTA;42
7893963985339;BOTA DE PVC 110VFLEX BR MEIO-CANO 43 MARLUVAS;0;EPI;BOTA;43
7893963945227;BOTA DE PVC BRANCA 100AWORKF CA BR CANO LONGO 39 MARLUVAS;0;EPI;BOTA;39
7899239525124;BOTA DE PVC BRANCA CANO CURTO 82BPC600 33 BRACOL;0;EPI;BOTA;33
7899239525148;BOTA DE PVC BRANCA CANO CURTO 82BPC600 35 BRACOL;0;EPI;BOTA;35
7899239525155;BOTA DE PVC BRANCA CANO CURTO 82BPC600 36 BRACOL;0;EPI;BOTA;36
7899239525162;BOTA DE PVC BRANCA CANO CURTO 82BPC600 37 BRACOL;0;EPI;BOTA;37
7899239525179;BOTA DE PVC BRANCA CANO CURTO 82BPC600 38 BRACOL;0;EPI;BOTA;38
7890988708677;BOTA DE PVC BRANCA CANO CURTO 82BPC600 39 BRACOL;0;EPI;BOTA;39
7899239525193;BOTA DE PVC BRANCA CANO CURTO 82BPC600 40 BRACOL;0;EPI;BOTA;40
7899239525209;BOTA DE PVC BRANCA CANO CURTO 82BPC600 41 BRACOL;0;EPI;BOTA;41
7890988708707;BOTA DE PVC BRANCA CANO CURTO 82BPC600 42 BRACOL;0;EPI;BOTA;42
7890988708714;BOTA DE PVC BRANCA CANO CURTO 82BPC600 43 BRACOL;0;EPI;BOTA;43
7899239525230;BOTA DE PVC BRANCA CANO CURTO 82BPC600 44 BRACOL;0;EPI;BOTA;44
7899239525247;BOTA DE PVC BRANCA CANO CURTO 82BPC600 45 BRACOL;0;EPI;BOTA;45
231509450021;BOTA DE PVC BRANCA CANO LONGO 40 WORK FLEX;0;EPI;BOTA;40
7899239457159;BOTA DE PVC BRANCA CANO LONGO 85BPL600 35 BRACOL;0;EPI;BOTA;35
7899239457166;BOTA DE PVC BRANCA CANO LONGO 85BPL600 36 BRACOL;0;EPI;BOTA;36
7899239457173;BOTA DE PVC BRANCA CANO LONGO 85BPL600 37 BRACOL;0;EPI;BOTA;37
7899239457180;BOTA DE PVC BRANCA CANO LONGO 85BPL600 38 BRACOL;0;EPI;BOTA;38
7899239457197;BOTA DE PVC BRANCA CANO LONGO 85BPL600 39 BRACOL;0;EPI;BOTA;39
7899239457203;BOTA DE PVC BRANCA CANO LONGO 85BPL600 40 BRACOL;0;EPI;BOTA;40
7899239457210;BOTA DE PVC BRANCA CANO LONGO 85BPL600 41 BRACOL;0;EPI;BOTA;41
7899239457234;BOTA DE PVC BRANCA CANO LONGO 85BPL600 43 BRACOL;0;EPI;BOTA;43
7899239457241;BOTA DE PVC BRANCA CANO LONGO 85BPL600 44 BRACOL;0;EPI;BOTA;44
7899239457258;BOTA DE PVC BRANCA CANO LONGO 85BPL600 45 BRACOL;0;EPI;BOTA;45
236878390050;BOTA DE PVC BRANCA CANO LONGO WORK FLEX;0;EPI;BOTA;
606529752378;BOTA DE PVC BRANCA CANO LONGO WORKFLEX 37;0;EPI;BOTA;37
606529752408;BOTA DE PVC BRANCA CANO LONGO WORKFLEX 40;0;EPI;BOTA;40
7890988697902;BOTA DE PVC CANO EXTRA CURTO TAM-41 BRACOL;0;EPI;BOTA;41
7890988708653;BOTA DE PVC CANO CURTO 82BPC600 37 AQUAFELX;0;EPI;BOTA;37
7890988708660;BOTA DE PVC CANO CURTO 82BPC600 38 AQUAFLEX;0;EPI;BOTA;38
7890988708646;BOTA PVC BRANCA CANO CURTO 82BPC600 36 BRACOL;0;EPI;BOTA;36
7890988708691;BOTA PVC BRANCA CURTA 41 82PC600 ACQUAFLEX;0;EPI;BOTA;41
7893963588202;BOTINA 50B19M-BP ESPECIAL 47 MARLUVAS;0;EPI;BOTINA;47
7893963855113;BOTINA PRETA 90B19A C/BICO ACO 47 MARLUVAS;0;EPI;BOTINA;47
7893963416918;BOTINA VULCAFLEX 10VB48-BP EAC-212 45 MARLUVAS;0;EPI;BOTINA;45
7893963860834;BOTINA VULCAFLEX PRETA 10VB48-BP 37 MARLUVAS;0;EPI;BOTINA;37
7893963860841;BOTINA VULCAFLEX PRETA 10VB48-BP 38 MARLUVAS;0;EPI;BOTINA;38
7893963860858;BOTINA VULCAFLEX PRETA 10VB48-BP 39 MARLUVAS;0;EPI;BOTINA;39
7893963860865;BOTINA VULCAFLEX PRETA 10VB48-BP 40 MARLUVAS;0;EPI;BOTINA;40
7893963860872;BOTINA VULCAFLEX PRETA 10VB48-BP 41 MARLUVAS;0;EPI;BOTINA;41
7893963860889;BOTINA VULCAFLEX PRETA 10VB48-BP 42 MARLUVAS;0;EPI;BOTINA;42
7893963860896;BOTINA VULCAFLEX PRETA 10VB48-BP 43 MARLUVAS;0;EPI;BOTINA;43
7893963860902;BOTINA VULCAFLEX PRETA 10VB48-BP 44 MARLUVAS;0;EPI;BOTINA;44
7893963860919;BOTINA VULCAFLEX PRETA 10VB48-BP 45 MARLUVAS;0;EPI;BOTINA;45
7893963854963;BOTINA VULCAFLEX PRETA 90B19-BP 47 MARLUVAS;0;EPI;BOTINA;47
2501504920194;CALCA AZUL FRIO CL 150 PES TM-G BRASIL SAFETY;0;EPI;CALCA;G
2501504920217;CALCA AZUL FRIO CL 150 PES TM-GG BRASIL SAFETY;0;EPI;CALCA;GG
2501504920200;CALCA AZUL FRIO CL150 PES TM-M BRASIL SAFETY;0;EPI;CALCA;M
2501504920606;CALCA BRANCA FRIO CL 150 PES TM GG BRASIL SAFETY;0;EPI;CALCA;GG
2501504920521;CALCA BRANCA FRIO CL 150 PES TM-G BRASIL SAFETY;0;EPI;CALCA;G
2501504920514;CALCA BRANCA FRIO CL 150 PES TM. M BRASIL SAFETY;0;EPI;CALCA;M
7897699560150;CALCA DE CHUVA EM PVC FORRADO TAM-G AMARELA;0;EPI;CALCA;G
2501504920705;CALCA DE CHUVA AMARELADA;0;EPI;CALCA;
2501504920859;CALCA NYLON FRIGO. AZUL CL PES 150 TM-60 BRASIL SAFETY;0;EPI;CALCA;60
2501504920910;CALCA NYLON FRIGO. AZUL EXG VELPER;0;EPI;CALCA;XGG
2501504920576;CALCA NYLON FRIGO. AZUL TAM.XG MAICOL;0;EPI;CALCA;XG
2501504920866;CALCA NYLON FRIGO. BRANCA CL PES 150 TM-60 BRASIL SAFETY;0;EPI;CALCA;60
2501504920750;CALCA NYLON FRIGO. BRANCA TAM-EXG MAICOL;0;EPI;CALCA;XGG
2501504920583;CALCA NYLON FRIGO. BRANCA TAM. GG SAFETY;0;EPI;CALCA;GG
2501504920644;CALCA NYLON FRIGO. FRIGO. AZUL TM-G VELPER;0;EPI;CALCA;G
2501504920613;CALCA NYLON FRIGO. FRIGO.AZUL TM-M VELPER;0;EPI;CALCA;M
25015049206668;CALCA TERMICA DE MOLETON BRANCA TM-G;0;EPI;CALCA;G
2501504920675;CALCA TERMICA DE MOLETON BRANCA TM-GG;0;EPI;CALCA;GG
2501504920651;CALCA TERMICA DE MOLETON BRANCA TM-M;0;EPI;CALCA;M
2501504920316;CALCA TERMICA FRIGO. NYLON BRANCA XG SAFETY;0;EPI;CALCA;XG
2501504920699;CALCA TERMICA FRIGORIFICA NYLON VELPER BRANCA TAM. G;0;EPI;CALCA;G
2501504920682;CALCA TERMICA FRIGORIFICA NYLON VELPER BRANCA TAM. M;0;EPI;CALCA;M
2501504920149;CAPA DE CHUVA AMARELA 801 GG BRASCAMP;0;EPI;CAPA;GG
2501504920156;CAPA DE CHUVA AMRELA 801 G BRASCAMP;0;EPI;CAPA;G
7898567371458;CAPA DE CHUVA IMPERMEAVEL PVC FORRADO TM-G AMARELA;0;EPI;CAPA;G
7898567371397;CAPA DE CHUVA TRANSPARENTE 013 REF.307 T-G BRASCAMP;0;EPI;CAPA;G
7898575179824;CAPACETE BRANCO V-GARD 299931 CLASSE B MSA;0;EPI;CAPACETE;
7898530882196;CINTO C-TALABARTE DUPLO Y VIC20529 VICSA;0;EPI;CINTO;
2501504920347;JAPONA NYLON TERMICA FRIGO. AZUL JP 15 PES TM-M BRASIL SAFETY;0;EPI;JAPONA;M
2501504920354;JAPONA NYLON TERMICA FRIGO. AZUL JP 15 PES TM-P BRASIL SAFETY;0;EPI;JAPONA;P
2501504920620;JAPONA NYLON TERMICA FRIGO. AZUL TM-G VELPE;0;EPI;JAPONA;G
7898954217277;JAPONA NYLON TERMICA FRIGO. AZUL TM-M VELPER;0;EPI;JAPONA;M
2501504920811;JAPONA NYLON TERMICA FRIGO. AZUL TM-P VELPER;0;EPI;JAPONA;P
2501504920064;JAPONA NYLON TERMICA FRIGO. BRANCA JP 15 PES TM-M BRASIL SAFETY;0;EPI;JAPONA;M
2501504920095;JAPONA NYLON TERMICA FRIGO. BRANCA TM- XG MAICOL;0;EPI;JAPONA;XG
250150492082;JAPONA NYLON TERMICA FRIGO. BRANCA TM-M MAICOL;0;EPI;JAPONA;M
2501504920323;JAPONA NYLON TERMICA FRIGO.AZUL JP 15 PES TM-G BRASIL SAFETY;0;EPI;JAPONA;G
2501504920330;JAPONA NYLON TERMICA FRIGO.AZUL JP 15 PES TM-GG BRASIL SAFETY;0;EPI;JAPONA;GG
2501504920835;JAPONA NYLON TERMICA FRIGO.AZUL JP 15 PES TM-GGG BRASIL SAFETY;0;EPI;JAPONA;GGG
2501504920071;JAPONA NYLON TERMICA FRIGO.BRANCA JP 15 PES TM-G BRASIL SAFETY;0;EPI;JAPONA;G
2501504920088;JAPONA NYLON TERMICA FRIGO.BRANCA JP 15 PES TM-GG BRASIL SAFETY;0;EPI;JAPONA;GG
